BL_B6,B6 Port 1+ SM,B6 Port 1+ T,B6 Port 2- SM,B6 Port 2- T,B6 Port 3A SM,B6 Port 3A T
12/5/2011 12:00 AM,0.284,3.2,0.308,3.3,0.315,3.3
12/5/2011 1:00 AM,0.284,3.0,0.308,3.2,0.315,3.1
12/5/2011 2:00 AM,0.284,2.8,0.308,3.1,0.316,3.0
12/5/2011 3:00 AM,0.283,2.7,0.308,3.0,0.315,2.9
12/5/2011 4:00 AM,0.284,2.6,0.308,3.0,0.315,2.9
12/5/2011 5:00 AM,0.283,2.5,0.308,2.9,0.315,2.8
12/5/2011 6:00 AM,0.283,2.4,0.308,2.9,0.315,2.7
12/5/2011 7:00 AM,0.283,2.3,0.308,2.8,0.315,2.7
12/5/2011 8:00 AM,0.283,2.3,0.308,2.8,0.315,2.7
12/5/2011 9:00 AM,0.283,2.3,0.308,2.8,0.315,2.7
12/5/2011 10:00 AM,0.283,2.6,0.309,3.1,0.316,3.0
12/5/2011 11:00 AM,0.284,3.1,0.309,3.5,0.316,3.4
12/5/2011 12:00 PM,0.284,3.9,0.309,3.8,0.317,3.9
12/5/2011 1:00 PM,0.286,5.0,0.309,4.4,0.317,4.3
12/5/2011 2:00 PM,0.286,5.2,0.309,4.8,0.317,4.7
12/5/2011 3:00 PM,0.286,5.3,0.309,4.8,0.317,4.8
12/5/2011 4:00 PM,0.284,5.2,0.309,4.7,0.317,4.7
12/5/2011 5:00 PM,0.284,4.9,0.309,4.5,0.316,4.5
12/5/2011 6:00 PM,0.284,4.4,0.308,4.1,0.316,4.1
12/5/2011 7:00 PM,0.283,3.9,0.308,3.8,0.315,3.8
12/5/2011 8:00 PM,0.283,3.6,0.308,3.6,0.315,3.6
12/5/2011 9:00 PM,0.283,3.3,0.308,3.4,0.315,3.3
12/5/2011 10:00 PM,0.282,3.1,0.308,3.2,0.315,3.2
12/5/2011 11:00 PM,0.283,2.9,0.308,3.1,0.314,3.1
12/6/2011 12:00 AM,0.282,2.8,0.307,3.0,0.314,2.9
12/6/2011 1:00 AM,0.282,2.6,0.307,2.9,0.314,2.8
12/6/2011 2:00 AM,0.282,2.4,0.307,2.7,0.314,2.6
12/6/2011 3:00 AM,0.282,2.3,0.307,2.7,0.314,2.5
12/6/2011 4:00 AM,0.282,2.2,0.307,2.6,0.314,2.5
12/6/2011 5:00 AM,0.282,2.2,0.307,2.5,0.314,2.4
12/6/2011 6:00 AM,0.282,2.1,0.307,2.5,0.314,2.3
12/6/2011 7:00 AM,0.282,2.0,0.307,2.4,0.312,2.3
12/6/2011 8:00 AM,0.281,2.1,0.307,2.4,0.311,2.3
12/6/2011 9:00 AM,0.281,2.2,0.307,2.4,0.311,2.3
12/6/2011 10:00 AM,0.281,2.2,0.307,2.6,0.312,2.5
12/6/2011 11:00 AM,0.282,2.5,0.307,3.0,0.312,2.9
12/6/2011 12:00 PM,0.283,3.4,0.308,3.4,0.313,3.4
12/6/2011 1:00 PM,0.283,4.5,0.308,4.0,0.313,3.8
12/6/2011 2:00 PM,0.283,4.7,0.308,4.4,0.314,4.2
12/6/2011 3:00 PM,0.283,4.8,0.308,4.4,0.314,4.3
12/6/2011 4:00 PM,0.283,4.7,0.308,4.3,0.313,4.2
12/6/2011 5:00 PM,0.283,4.5,0.308,4.1,0.313,4.1
12/6/2011 6:00 PM,0.282,4.1,0.307,3.8,0.312,3.8
12/6/2011 7:00 PM,0.282,3.7,0.307,3.5,0.312,3.5
12/6/2011 8:00 PM,0.282,3.5,0.307,3.4,0.311,3.3
12/6/2011 9:00 PM,0.282,3.3,0.307,3.3,0.311,3.2
12/6/2011 10:00 PM,0.282,3.1,0.307,3.2,0.311,3.1
12/6/2011 11:00 PM,0.282,3.1,0.307,3.1,0.311,3.1
12/7/2011 12:00 AM,0.281,3.0,0.307,3.1,0.311,3.0
12/7/2011 1:00 AM,0.281,2.9,0.307,3.1,0.311,3.0
12/7/2011 2:00 AM,0.281,2.9,0.307,3.0,0.311,3.0
12/7/2011 3:00 AM,0.281,2.9,0.307,3.0,0.311,2.9
