ID,Block,PlotID,Species,Canopy,Trans,Fire,Snow,S1Tot,S2Tot,S3Tot,Row,Col,Pop,F1,Sp1,Su1,F2,Sp2,Su2,Su2.H,F3,F3.H,Sp3,Sp3.H,Su3.Fl,Su3.Fr,Su3.Sd,Su3.H
1,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,1,1,WM, ,1,1,1,0,0,,0,,0,,,,,
2,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,1,2,SF,,1,0,0,0,0,,0,,0,,,,,
3,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,1,3,GR,,,,,,,,,,,,,,,
4,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,1,4,GR,,,,,,,,,,,,,,,
5,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,1,5,PH,,1,0,0,0,0,,0,,0,,,,,
6,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,1,6,WM,,1,1,1,1,1,10,1,7,1,5,,,,
7,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,1,7,GT,,,,,1,1,6,0,,0,,,,,
8,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,2,1,GT,,,,,1,1,5,1,6,1,4,,,,
9,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,2,2,GT,,,,,,,,0,,,,,,,
10,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,2,3,SF,,,,,1,1,4.5,1,3,1,3,,,,
11,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,2,4,SF,,,,,,,,,,,,,,,
12,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,2,5,GT,,1,1,0,0,0,,0,,0,,,,,
13,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,2,6,WM,,,,,,,,,,,,,,,
14,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,2,7,SF,,,,,,,,,,,,,,,
15,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,3,1,SF,,,,,,,,,,,,,,,
16,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,3,2,DB,,,,,,,,,,,,,,,
17,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,3,3,GT,,1,1,0,0,0,,0,,0,,,,,
18,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,3,4,GT,,,,,,,,,,,,,,,
19,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,3,5,SF,,,,,1,1,6.5,1,6,1,5,,,,
20,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,3,6,GT,,1,1,0,0,0,,0,,0,,,,,
21,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,3,7,GR,,,,,,,,,,,,,,,
22,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,4,1,GT,,,,,,,,,,,,,,,
23,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,4,2,GT,,1,1,0,0,0,,0,,0,,,,,
24,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,4,3,WM,,,,,1,1,4.5,1,4,1,4,,,,
25,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,4,4,WM,,,,,1,1,5.5,1,4,1,4,,,,
