Metadata for individual database,,,,,,,,,,,,,,"For status, 1=alive, 0=dead, blank=ungerminated",,,,,,,,,,,,,,
ID,Block,PlotID,Species,Canopy,Trans,Fire,Snow,S1Tot,S2Tot,S3Tot,Row,Col,Pop,F1,Sp1,Su1,F2,Sp2,Su2,Su2.H,F3,F3.H,Sp3,Sp3.H,Su3.Fl,Su3.Fr,Su3.Sd,Su3.H
,,,"cs= cytisus scoparius, sj=spartium junceum","T=thin, O=open, C=closed, D=dense","Transmittance, percentage of full sun at plot level","1=prescribed burn, 2=no fire","plus, minus or ambient snowfall","Total snow accumulation in W11-12, in cm","Total snow accumulation in W12-13, in cm","Total snow accumulation in W13-14, in cm", , ,Source population,Status fall 2011,Status spring 2012,Status summer 2012,Status fall 2012,Status spring 2012,Status summer 2013,Height summer 2013,Status fall 2013,Height fall 2013,Status spring 2014,Height spring 2014,Flowers summer 2014,Fruits summer 2014,Seeds summer 2014,Height summer 2014
,,,,,,,,,,,,,"WM=White Meadow Road (38.7827701, -120.4518379)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,SF= Unknown location,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"GR=Gold Run Rest Area (39.1795025, -120.8524011)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PH= Placer Hills Rd (38.98095289, -121.02142197)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,"GT= Georgetown (38.91318, -120.8266741)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,"DB= Dru Barner (38.9310969, -120.7604034)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,"CR= Crother Road, Applegate (39.0057564,-120.9927168)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,"SK=Skyway Road, Paradise (39.7876232,-121.5936537)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,"SKM=Skyway Road, Magalia (39.801636,-121.5788647)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PR= Pearson Road, Paradise (39.7521617,-121.6205569)",,,,,,,,,,,,,,,
