"cs","Scenario","Pg0B","Pg0sd","Pg1B","Pg1sd","Pg2B","Pg2sd","PgBB","PgBsd","Pss1B","Pss1sd","Pws1B","Pws1sd","Pss2B","Pss2sd","Pws2B","Pws2sd","Pm3","Pm3sd","S1","S1sd"
1,"O.S10",-4.32,0.195,-2.163,0.192,-2.041,0.194,-23.452,0,-0.238,0.262,1.19,0.115,1.365,0.188,1.579,0.212,1.386,0.798,5.088,0.028
2,"O.S40",-4.32,0.195,-2.163,0.192,-2.041,0.194,-23.452,0,-0.238,0.262,1.19,0.115,1.365,0.188,1.579,0.212,1.386,0.798,5.088,0.028
3,"O.S70",-4.32,0.195,-2.163,0.192,-2.041,0.194,-23.452,0,-0.238,0.262,1.19,0.115,1.365,0.188,1.579,0.212,1.386,0.798,5.088,0.028
4,"T.UB.S10",-4.32,0.195,-1.845,0.122,-1.148,0.078,-3.178,0.19,1.186,0.344,2.042,0.301,1.365,0.188,1.579,0.212,-2.512,0.426,4.146,0.052
5,"T.UB.S40",-4.32,0.195,-1.845,0.122,-1.148,0.078,-3.178,0.19,0.789,0.298,-1.185,0.554,1.365,0.188,1.579,0.212,-2.512,0.426,4.146,0.052
6,"T.UB.S70",-4.32,0.195,-1.845,0.122,-1.148,0.078,-3.178,0.19,0.391,0.353,-4.413,1.245,1.365,0.188,1.579,0.212,-2.512,0.426,4.146,0.052
7,"T.B.S10",-4.32,0.195,-1.002,0.154,-1.148,0.078,-3.178,0.19,0.916,0.109,1.922,0.297,1.365,0.188,1.579,0.212,-2.512,0.426,4.146,0.052
8,"T.B.S40",-4.32,0.195,-1.002,0.154,-1.148,0.078,-3.178,0.19,0.916,0.109,-0.23,0.433,1.365,0.188,1.579,0.212,-2.512,0.426,4.146,0.052
9,"T.B.S70",-4.32,0.195,-1.002,0.154,-1.148,0.078,-3.178,0.19,0.916,0.109,-2.382,1.04,1.365,0.188,1.579,0.212,-2.512,0.426,4.146,0.052
10,"C.S10",-4.32,0.195,-1.545,0.154,-2.02,0.202,-3.718,0.452,0.898,0.25,1.19,0.115,1.365,0.188,1.579,0.212,-20.193,0,-20,0
11,"C.S40",-4.32,0.195,-1.545,0.154,-2.02,0.202,-3.718,0.452,0.898,0.25,1.19,0.115,1.365,0.188,1.579,0.212,-20.193,0,-20,0
12,"C.S70",-4.32,0.195,-1.545,0.154,-2.02,0.202,-3.718,0.452,0.898,0.25,1.19,0.115,1.365,0.188,1.579,0.212,-20.193,0,-20,0
13,"D.S10",-20,0,-0.558,1.018,-21.619,0,-23.619,0,-0.288,0.441,1.19,0.115,1.365,0.188,1.579,0.212,-19.159,0,-20,0
14,"D.S40",-20,0,-2.121,0.683,-21.619,0,-23.619,0,-0.288,0.441,1.19,0.115,1.365,0.188,1.579,0.212,-19.159,0,-20,0
15,"D.S70",-20,0,-3.683,0.824,-21.619,0,-23.619,0,-0.288,0.441,1.19,0.115,1.365,0.188,1.579,0.212,-19.159,0,-20,0
