"","O.S10","O.S40","O.S70","T.UB.S10","T.UB.S40","T.UB.S70","T.B.S10","T.B.S40","T.B.S70","C.S10","C.S40","C.S70","D.S10","D.S40","D.S70"
"Pg0",0.0220359,0.0221091,0.0220735,0.1198319,0.1194253,0.1190562,0.1192619,0.1196308,0.1197391,0.0907337,0.0893989,0.0886429,0.0390233,0.0388554,0.0388813
"Pg1",0.0473055,0.0472438,0.0468826,0.0953102,0.0955003,0.0949873,0.4882124,0.2660941,0.1207986,0.0923415,0.0909211,0.0906518,0.0486536,0.0484443,0.0474028
"Pg2",0.0126397,0.0126949,0.0126484,0.1437155,0.1431882,0.1435005,0.0823054,0.0818264,0.0832739,0.0511012,0.0509662,0.0504718,0.0095425,0.0097781,0.0092606
"PgB",0.0060189,0.0058157,0.0061401,0.0351366,0.0353049,0.0353927,0.0352126,0.0351932,0.0350622,0.0238603,0.0240236,0.0236804,0.0061183,0.0054745,0.0057842
"Pd1",0.9306586,0.9306471,0.9310439,0.7848579,0.7850744,0.7859565,0.3925257,0.6142751,0.7594623,0.8169248,0.81968,0.8207053,0.9123231,0.9127003,0.9137159
"Pd2",0.9873603,0.9873051,0.9873516,0.8562845,0.8568118,0.8564995,0.9176946,0.9181736,0.9167261,0.9488988,0.9490338,0.9495282,0.9904575,0.9902219,0.9907394
"PdB",0.68,0.68,0.68,0.2962852,0.2962852,0.2962852,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
"Pws0",0.8023003,0.8020812,0.8004403,0.959792,0.9106836,0.7836866,0.9685152,0.9359362,0.8554601,0.8030467,0.8024513,0.80114,0.8014846,0.8006315,0.8019876
"Pss1",0.2196888,0.2179758,0.2081632,0.6687096,0.6685944,0.6694458,0.6688498,0.6692495,0.6702405,0.525717,0.5238579,0.5262305,0.1683784,0.1665576,0.1633332
"Pws1",0.7213744,0.7195175,0.7218881,0.8914574,0.152919,0.010091,0.8586681,0.0731406,0.0060591,0.7202118,0.721766,0.7191965,0.7195609,0.7206969,0.7192266
"Pss2",0.7999597,0.8013252,0.8014866,0.8024963,0.7987308,0.8001635,0.7998779,0.8010292,0.8017945,0.801595,0.7999057,0.8006237,0.8020852,0.7998825,0.8005927
"Pws2",0.8312261,0.8330271,0.8334324,0.896092,0.2769361,0.0728141,0.9279561,0.3183733,0.0369791,0.8339859,0.8322658,0.8336774,0.8341375,0.8327357,0.833562
"Py1s0",0.0142989,0.0141133,0.0133973,0.1406498,0.1365579,0.1260718,0.4037506,0.2530102,0.1496148,0.0868568,0.0851782,0.0849795,0.013357,0.0132968,0.0127381
"Py1s1",0.0027883,0.0027933,0.0026433,0.0960953,0.0957309,0.0960684,0.0550907,0.0547889,0.0557992,0.0268844,0.026673,0.0265437,0.0016263,0.0015981,0.001508
"Py1sB",0.0013208,0.0013051,0.0012772,0.0234947,0.0235958,0.0236932,0.0235532,0.0235532,0.023495,0.0125513,0.0125907,0.0124781,0.0009817,0.0009195,0.0009411
"Py2",0.5770537,0.5765657,0.5785901,0.7154046,0.1221942,0.0080345,0.6866634,0.0587042,0.0049096,0.5772633,0.5774435,0.5757896,0.5771881,0.576462,0.5757998
"Pspa",1,1,1,0.995,0.081,0.03,1,0.034,0.002,1,1,1,1,1,1
"Psa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pm3",0.9938666,0.9938679,0.9938626,0.9843911,0.9843569,0.9843734,0.9843772,0.9844218,0.9843763,0,0,0,0,0,0
"Ppa",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"Pmpa",0.9938666,0.9938679,0.9938626,0.9843911,0.9843569,0.9843734,0.9843772,0.9844218,0.9843763,0.9843911,0.9843569,0.9843734,0.9843772,0.9844218,0.9843763
"Pa",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"S1",162.1254911,162.0771713,162.2035723,63.3029926,63.4660454,63.3479073,63.2630773,63.3729876,63.3758152,63.3029926,63.4660454,63.3479073,63.2630773,63.3729876,63.3758152
